,,,30.Aug,2017
42946.58403,07.30.2017,14:01:00,40.5,
42946.66736,07.30.2017,16:01:00,38,
42946.75069,07.30.2017,18:01:00,30,
42946.83403,07.30.2017,20:01:00,26,
42946.91736,07.30.2017,22:01:00,21,
42947.00069,07.31.2017,00:01:00,18.5,
42947.08403,07.31.2017,02:01:00,17.5,
42947.16736,07.31.2017,04:01:00,17.5,
42947.25069,07.31.2017,06:01:00,16.5,
42947.33403,07.31.2017,08:01:00,18,
42947.41736,07.31.2017,10:01:00,22.5,
42947.50069,07.31.2017,12:01:00,30,
42947.58403,07.31.2017,14:01:00,35,
42947.66736,07.31.2017,16:01:00,34,
42947.75069,07.31.2017,18:01:00,28.5,
42947.83403,07.31.2017,20:01:00,23.5,
42947.91736,07.31.2017,22:01:00,20,
42948.00069,08.01.2017,00:01:00,18,
42948.08403,08.01.2017,02:01:00,17,
42948.16736,08.01.2017,04:01:00,15.5,
42948.25069,08.01.2017,06:01:00,14.5,
42948.33403,08.01.2017,08:01:00,17,
42948.41736,08.01.2017,10:01:00,21,
42948.50069,08.01.2017,12:01:00,26.5,
42948.58403,08.01.2017,14:01:00,33,
42948.66736,08.01.2017,16:01:00,33,
42948.75069,08.01.2017,18:01:00,27,
42948.83403,08.01.2017,20:01:00,22.5,
42948.91736,08.01.2017,22:01:00,18.5,
42949.00069,08.02.2017,00:01:00,16.5,
42949.08403,08.02.2017,02:01:00,15,
42949.16736,08.02.2017,04:01:00,14.5,
42949.25069,08.02.2017,06:01:00,13.5,
42949.33403,08.02.2017,08:01:00,17,
42949.41736,08.02.2017,10:01:00,22.5,
42949.50069,08.02.2017,12:01:00,32,
42949.58403,08.02.2017,14:01:00,38,
42949.66736,08.02.2017,16:01:00,35.5,
42949.75069,08.02.2017,18:01:00,29.5,
42949.83403,08.02.2017,20:01:00,24,
42949.91736,08.02.2017,22:01:00,20,
42950.00069,08.03.2017,00:01:00,17.5,
42950.08403,08.03.2017,02:01:00,16,
42950.16736,08.03.2017,04:01:00,15,
42950.25069,08.03.2017,06:01:00,14.5,
42950.33403,08.03.2017,08:01:00,17,
42950.41736,08.03.2017,10:01:00,21.5,
42950.50069,08.03.2017,12:01:00,29.5,
42950.58403,08.03.2017,14:01:00,33.5,
42950.66736,08.03.2017,16:01:00,31.5,
42950.75069,08.03.2017,18:01:00,27,
42950.83403,08.03.2017,20:01:00,22.5,
42950.91736,08.03.2017,22:01:00,19.5,
42951.00069,08.04.2017,00:01:00,18,
42951.08403,08.04.2017,02:01:00,18,
42951.16736,08.04.2017,04:01:00,17.5,
42951.25069,08.04.2017,06:01:00,16,
42951.33403,08.04.2017,08:01:00,18,
42951.41736,08.04.2017,10:01:00,24,
42951.50069,08.04.2017,12:01:00,34.5,
42951.58403,08.04.2017,14:01:00,43.5,
42951.66736,08.04.2017,16:01:00,40.5,
42951.75069,08.04.2017,18:01:00,31.5,
42951.83403,08.04.2017,20:01:00,25.5,
42951.91736,08.04.2017,22:01:00,21.5,
42952.00069,08.05.2017,00:01:00,20.5,
42952.08403,08.05.2017,02:01:00,18,
42952.16736,08.05.2017,04:01:00,16.5,
42952.25069,08.05.2017,06:01:00,15,
42952.33403,08.05.2017,08:01:00,18,
42952.41736,08.05.2017,10:01:00,23.5,
42952.50069,08.05.2017,12:01:00,32,
42952.58403,08.05.2017,14:01:00,38.5,
42952.66736,08.05.2017,16:01:00,36,
42952.75069,08.05.2017,18:01:00,29,
42952.83403,08.05.2017,20:01:00,24,
42952.91736,08.05.2017,22:01:00,20,
42953.00069,08.06.2017,00:01:00,18,
42953.08403,08.06.2017,02:01:00,16.5,
42953.16736,08.06.2017,04:01:00,15.5,
42953.25069,08.06.2017,06:01:00,14.5,
42953.33403,08.06.2017,08:01:00,17,
42953.41736,08.06.2017,10:01:00,21,
42953.50069,08.06.2017,12:01:00,28,
42953.58403,08.06.2017,14:01:00,33,
42953.66736,08.06.2017,16:01:00,32,
42953.75069,08.06.2017,18:01:00,28,
42953.83403,08.06.2017,20:01:00,23,
42953.91736,08.06.2017,22:01:00,19.5,
42954.00069,08.07.2017,00:01:00,18,
42954.08403,08.07.2017,02:01:00,16.5,
42954.16736,08.07.2017,04:01:00,15.5,
42954.25069,08.07.2017,06:01:00,15,
42954.33403,08.07.2017,08:01:00,16.5,
42954.41736,08.07.2017,10:01:00,21,
42954.50069,08.07.2017,12:01:00,27.5,
42954.58403,08.07.2017,14:01:00,34.5,
42954.66736,08.07.2017,16:01:00,32.5,
42954.75069,08.07.2017,18:01:00,27.5,
42954.83403,08.07.2017,20:01:00,23,
42954.91736,08.07.2017,22:01:00,19.5,
42955.00069,08.08.2017,00:01:00,18,
42955.08403,08.08.2017,02:01:00,16.5,
42955.16736,08.08.2017,04:01:00,15.5,
42955.25069,08.08.2017,06:01:00,16.5,
42955.33403,08.08.2017,08:01:00,17,
42955.41736,08.08.2017,10:01:00,21.5,
42955.50069,08.08.2017,12:01:00,29,
42955.58403,08.08.2017,14:01:00,34,
42955.66736,08.08.2017,16:01:00,32,
42955.75069,08.08.2017,18:01:00,27.5,
42955.83403,08.08.2017,20:01:00,22.5,
42955.91736,08.08.2017,22:01:00,19,
42956.00069,08.09.2017,00:01:00,17.5,
42956.08403,08.09.2017,02:01:00,16,
42956.16736,08.09.2017,04:01:00,15,
42956.25069,08.09.2017,06:01:00,14,
42956.33403,08.09.2017,08:01:00,16,
42956.41736,08.09.2017,10:01:00,21,
42956.50069,08.09.2017,12:01:00,28,
42956.58403,08.09.2017,14:01:00,33,
42956.66736,08.09.2017,16:01:00,31,
42956.75069,08.09.2017,18:01:00,26.5,
42956.83403,08.09.2017,20:01:00,22,
42956.91736,08.09.2017,22:01:00,19,
42957.00069,08.10.2017,00:01:00,17,
42957.08403,08.10.2017,02:01:00,16,
42957.16736,08.10.2017,04:01:00,15,
42957.25069,08.10.2017,06:01:00,14,
42957.33403,08.10.2017,08:01:00,16,
42957.41736,08.10.2017,10:01:00,21,
42957.50069,08.10.2017,12:01:00,28.5,
42957.58403,08.10.2017,14:01:00,34.5,
42957.66736,08.10.2017,16:01:00,32,
42957.75069,08.10.2017,18:01:00,28,
42957.83403,08.10.2017,20:01:00,23,
42957.91736,08.10.2017,22:01:00,20,
42958.00069,08.11.2017,00:01:00,18,
42958.08403,08.11.2017,02:01:00,16.5,
42958.16736,08.11.2017,04:01:00,15.5,
42958.25069,08.11.2017,06:01:00,14.5,
42958.33403,08.11.2017,08:01:00,17,
42958.41736,08.11.2017,10:01:00,22.5,
42958.50069,08.11.2017,12:01:00,31.5,
42958.58403,08.11.2017,14:01:00,40.5,
42958.66736,08.11.2017,16:01:00,38,
42958.75069,08.11.2017,18:01:00,31.5,
42958.83403,08.11.2017,20:01:00,25.5,
42958.91736,08.11.2017,22:01:00,21,
42959.00069,08.12.2017,00:01:00,19,
42959.08403,08.12.2017,02:01:00,17.5,
42959.16736,08.12.2017,04:01:00,17,
42959.25069,08.12.2017,06:01:00,16,
42959.33403,08.12.2017,08:01:00,17.5,
42959.41736,08.12.2017,10:01:00,23,
42959.50069,08.12.2017,12:01:00,31,
42959.58403,08.12.2017,14:01:00,38,
42959.66736,08.12.2017,16:01:00,36,
42959.75069,08.12.2017,18:01:00,29.5,
42959.83403,08.12.2017,20:01:00,25,
42959.91736,08.12.2017,22:01:00,22.5,
42960.00069,08.13.2017,00:01:00,21,
42960.08403,08.13.2017,02:01:00,19.5,
42960.16736,08.13.2017,04:01:00,18.5,
42960.25069,08.13.2017,06:01:00,17.5,
42960.33403,08.13.2017,08:01:00,18,
42960.41736,08.13.2017,10:01:00,21,
42960.50069,08.13.2017,12:01:00,28.5,
42960.58403,08.13.2017,14:01:00,30,
42960.66736,08.13.2017,16:01:00,28.5,
42960.75069,08.13.2017,18:01:00,23.5,
42960.83403,08.13.2017,20:01:00,18.5,
42960.91736,08.13.2017,22:01:00,16,
42961.00069,08.14.2017,00:01:00,15,
42961.08403,08.14.2017,02:01:00,14.5,
42961.16736,08.14.2017,04:01:00,14,
42961.25069,08.14.2017,06:01:00,13.5,
42961.33403,08.14.2017,08:01:00,14,
42961.41736,08.14.2017,10:01:00,17.5,
42961.50069,08.14.2017,12:01:00,23,
42961.58403,08.14.2017,14:01:00,27,
42961.66736,08.14.2017,16:01:00,25,
42961.75069,08.14.2017,18:01:00,21.5,
42961.83403,08.14.2017,20:01:00,18,
42961.91736,08.14.2017,22:01:00,14.5,
42962.00069,08.15.2017,00:01:00,13.5,
42962.08403,08.15.2017,02:01:00,12.5,
42962.16736,08.15.2017,04:01:00,11.5,
42962.25069,08.15.2017,06:01:00,11,
42962.33403,08.15.2017,08:01:00,12.5,
42962.41736,08.15.2017,10:01:00,18,
42962.50069,08.15.2017,12:01:00,27.5,
42962.58403,08.15.2017,14:01:00,31,
42962.66736,08.15.2017,16:01:00,28.5,
42962.75069,08.15.2017,18:01:00,25.5,
42962.83403,08.15.2017,20:01:00,19.5,
42962.91736,08.15.2017,22:01:00,16,
42963.00069,08.16.2017,00:01:00,14.5,
42963.08403,08.16.2017,02:01:00,13.5,
42963.16736,08.16.2017,04:01:00,12.5,
42963.25069,08.16.2017,06:01:00,12,
42963.33403,08.16.2017,08:01:00,15,
42963.41736,08.16.2017,10:01:00,19.5,
42963.50069,08.16.2017,12:01:00,30.5,
42963.58403,08.16.2017,14:01:00,38.5,
42963.66736,08.16.2017,16:01:00,35.5,
42963.75069,08.16.2017,18:01:00,29.5,
42963.83403,08.16.2017,20:01:00,24.5,
42963.91736,08.16.2017,22:01:00,20,
42964.00069,08.17.2017,00:01:00,17,
42964.08403,08.17.2017,02:01:00,16,
42964.16736,08.17.2017,04:01:00,15.5,
42964.25069,08.17.2017,06:01:00,14,
42964.33403,08.17.2017,08:01:00,16,
42964.41736,08.17.2017,10:01:00,21,
42964.50069,08.17.2017,12:01:00,29,
42964.58403,08.17.2017,14:01:00,36,
42964.66736,08.17.2017,16:01:00,35,
42964.75069,08.17.2017,18:01:00,28.5,
42964.83403,08.17.2017,20:01:00,22.5,
42964.91736,08.17.2017,22:01:00,19.5,
42965.00069,08.18.2017,00:01:00,17,
42965.08403,08.18.2017,02:01:00,15.5,
42965.16736,08.18.2017,04:01:00,15.5,
42965.25069,08.18.2017,06:01:00,15,
42965.33403,08.18.2017,08:01:00,16.5,
42965.41736,08.18.2017,10:01:00,21.5,
42965.50069,08.18.2017,12:01:00,31,
42965.58403,08.18.2017,14:01:00,35,
42965.66736,08.18.2017,16:01:00,32,
42965.75069,08.18.2017,18:01:00,27,
42965.83403,08.18.2017,20:01:00,22.5,
42965.91736,08.18.2017,22:01:00,19.5,
42966.00069,08.19.2017,00:01:00,18,
42966.08403,08.19.2017,02:01:00,16.5,
42966.16736,08.19.2017,04:01:00,15.5,
42966.25069,08.19.2017,06:01:00,15,
42966.33403,08.19.2017,08:01:00,16.5,
42966.41736,08.19.2017,10:01:00,21.5,
42966.50069,08.19.2017,12:01:00,27,
42966.58403,08.19.2017,14:01:00,29,
42966.66736,08.19.2017,16:01:00,32,
42966.75069,08.19.2017,18:01:00,25.5,
42966.83403,08.19.2017,20:01:00,20,
42966.91736,08.19.2017,22:01:00,16,
42967.00069,08.20.2017,00:01:00,14.5,
42967.08403,08.20.2017,02:01:00,14,
42967.16736,08.20.2017,04:01:00,14,
42967.25069,08.20.2017,06:01:00,14.5,
42967.33403,08.20.2017,08:01:00,16,
42967.41736,08.20.2017,10:01:00,19.5,
42967.50069,08.20.2017,12:01:00,24.5,
42967.58403,08.20.2017,14:01:00,27.5,
42967.66736,08.20.2017,16:01:00,26.5,
42967.75069,08.20.2017,18:01:00,23.5,
42967.83403,08.20.2017,20:01:00,20,
42967.91736,08.20.2017,22:01:00,17,
42968.00069,08.21.2017,00:01:00,16.5,
42968.08403,08.21.2017,02:01:00,15.5,
42968.16736,08.21.2017,04:01:00,13.5,
42968.25069,08.21.2017,06:01:00,12.5,
42968.33403,08.21.2017,08:01:00,14.5,
42968.41736,08.21.2017,10:01:00,19,
42968.50069,08.21.2017,12:01:00,27,
42968.58403,08.21.2017,14:01:00,29.5,
42968.66736,08.21.2017,16:01:00,30.5,
42968.75069,08.21.2017,18:01:00,26,
42968.83403,08.21.2017,20:01:00,21.5,
42968.91736,08.21.2017,22:01:00,17.5,
42969.00069,08.22.2017,00:01:00,16,
42969.08403,08.22.2017,02:01:00,15,
42969.16736,08.22.2017,04:01:00,14,
42969.25069,08.22.2017,06:01:00,13,
42969.33403,08.22.2017,08:01:00,15,
42969.41736,08.22.2017,10:01:00,20.5,
42969.50069,08.22.2017,12:01:00,31.5,
42969.58403,08.22.2017,14:01:00,39.5,
42969.66736,08.22.2017,16:01:00,37,
42969.75069,08.22.2017,18:01:00,29.5,
42969.83403,08.22.2017,20:01:00,24,
42969.91736,08.22.2017,22:01:00,20,
42970.00069,08.23.2017,00:01:00,18,
42970.08403,08.23.2017,02:01:00,17,
42970.16736,08.23.2017,04:01:00,16,
42970.25069,08.23.2017,06:01:00,15,
42970.33403,08.23.2017,08:01:00,17,
42970.41736,08.23.2017,10:01:00,22.5,
42970.50069,08.23.2017,12:01:00,33,
42970.58403,08.23.2017,14:01:00,36.5,
42970.66736,08.23.2017,16:01:00,36,
42970.75069,08.23.2017,18:01:00,27.5,
42970.83403,08.23.2017,20:01:00,23.5,
42970.91736,08.23.2017,22:01:00,20,
42971.00069,08.24.2017,00:01:00,18,
42971.08403,08.24.2017,02:01:00,16,
42971.16736,08.24.2017,04:01:00,15,
42971.25069,08.24.2017,06:01:00,14.5,
42971.33403,08.24.2017,08:01:00,17,
42971.41736,08.24.2017,10:01:00,23,
42971.50069,08.24.2017,12:01:00,22,
42971.58403,08.24.2017,14:01:00,28,
42971.66736,08.24.2017,16:01:00,19,
42971.75069,08.24.2017,18:01:00,18.5,
42971.83403,08.24.2017,20:01:00,14.5,
42971.91736,08.24.2017,22:01:00,12.5,
42972.00069,08.25.2017,00:01:00,11,
42972.08403,08.25.2017,02:01:00,10,
42972.16736,08.25.2017,04:01:00,9,
42972.25069,08.25.2017,06:01:00,8.5,
42972.33403,08.25.2017,08:01:00,10.5,
42972.41736,08.25.2017,10:01:00,14,
42972.50069,08.25.2017,12:01:00,20.5,
42972.58403,08.25.2017,14:01:00,27.5,
42972.66736,08.25.2017,16:01:00,26,
42972.75069,08.25.2017,18:01:00,21,
42972.83403,08.25.2017,20:01:00,16.5,
42972.91736,08.25.2017,22:01:00,14,
42973.00069,08.26.2017,00:01:00,12.5,
42973.08403,08.26.2017,02:01:00,11,
42973.16736,08.26.2017,04:01:00,10.5,
42973.25069,08.26.2017,06:01:00,10,
42973.33403,08.26.2017,08:01:00,11,
42973.41736,08.26.2017,10:01:00,16,
42973.50069,08.26.2017,12:01:00,24.5,
42973.58403,08.26.2017,14:01:00,31,
42973.66736,08.26.2017,16:01:00,29,
42973.75069,08.26.2017,18:01:00,24,
42973.83403,08.26.2017,20:01:00,19,
42973.91736,08.26.2017,22:01:00,16.5,
42974.00069,08.27.2017,00:01:00,15,
42974.08403,08.27.2017,02:01:00,14,
42974.16736,08.27.2017,04:01:00,13,
42974.25069,08.27.2017,06:01:00,12.5,
42974.33403,08.27.2017,08:01:00,13.5,
42974.41736,08.27.2017,10:01:00,18,
42974.50069,08.27.2017,12:01:00,26.5,
42974.58403,08.27.2017,14:01:00,32.5,
42974.66736,08.27.2017,16:01:00,31,
42974.75069,08.27.2017,18:01:00,26,
42974.83403,08.27.2017,20:01:00,21,
42974.91736,08.27.2017,22:01:00,18,
42975.00069,08.28.2017,00:01:00,16.5,
42975.08403,08.28.2017,02:01:00,15.5,
42975.16736,08.28.2017,04:01:00,14.5,
42975.25069,08.28.2017,06:01:00,13.5,
42975.33403,08.28.2017,08:01:00,15,
42975.41736,08.28.2017,10:01:00,19.5,
42975.50069,08.28.2017,12:01:00,28.5,
42975.58403,08.28.2017,14:01:00,35,
42975.66736,08.28.2017,16:01:00,32.5,
42975.75069,08.28.2017,18:01:00,27,
42975.83403,08.28.2017,20:01:00,21.5,
42975.91736,08.28.2017,22:01:00,19,
42976.00069,08.29.2017,00:01:00,17.5,
42976.08403,08.29.2017,02:01:00,16,
42976.16736,08.29.2017,04:01:00,14.5,
42976.25069,08.29.2017,06:01:00,13.5,
42976.33403,08.29.2017,08:01:00,14.5,
42976.41736,08.29.2017,10:01:00,20,
42976.50069,08.29.2017,12:01:00,29.5,
42976.58403,08.29.2017,14:01:00,36,
42976.66736,08.29.2017,16:01:00,33,
42976.75069,08.29.2017,18:01:00,27,
42976.83403,08.29.2017,20:01:00,22.5,
42976.91736,08.29.2017,22:01:00,19,
42977.00069,08.30.2017,00:01:00,17.5,
42977.08403,08.30.2017,02:01:00,16,
42977.16736,08.30.2017,04:01:00,15.5,
42977.25069,08.30.2017,06:01:00,14,
42977.33403,08.30.2017,08:01:00,15.5,
-end-,-end-,-end-,,
